Survived,Name,Sex,Age,SibSp,Parch,Embarked
0,"Elsbury, Mr. William James",male,47,0,0,S
0,"Bourke, Miss. Mary",female,,0,2,Q
0,"Chapman, Mr. John Henry",male,37,1,0,S
0,"Van Impe, Mr. Jean Baptiste",male,36,1,1,S
1,"Leitch, Miss. Jessie Wills",female,,0,0,S
0,"Johnson, Mr. Alfred",male,49,0,0,S
0,"Boulos, Mr. Hanna",male,,0,0,C
1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49,1,0,C
1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24,2,1,S
0,"Slabenoff, Mr. Petco",male,,0,0,S
0,"Harrington, Mr. Charles H",male,,0,0,S
0,"Torber, Mr. Ernst William",male,44,0,0,S
1,"Homer, Mr. Harry (""Mr E Haven"")",male,35,0,0,C
0,"Lindell, Mr. Edvard Bengtsson",male,36,1,0,S
0,"Karaic, Mr. Milan",male,30,0,0,S
1,"Daniel, Mr. Robert Williams",male,27,0,0,S
1,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,22,1,2,C
1,"Shutes, Miss. Elizabeth W",female,40,0,0,S
0,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,39,1,5,S
0,"Jardin, Mr. Jose Neto",male,,0,0,S
1,"Murphy, Miss. Margaret Jane",female,,1,0,Q
0,"Horgan, Mr. John",male,,0,0,Q
0,"Brocklebank, Mr. William Alfred",male,35,0,0,S
1,"Herman, Miss. Alice",female,24,1,2,S
0,"Danbom, Mr. Ernst Gilbert",male,34,1,1,S
0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26,1,0,S
1,"Becker, Miss. Marion Louise",female,4,2,1,S
0,"Gavey, Mr. Lawrence",male,26,0,0,S
0,"Yasbeck, Mr. Antoni",male,27,1,0,C
1,"Kimball, Mr. Edwin Nelson Jr",male,42,1,0,S
1,"Nakid, Mr. Sahid",male,20,1,1,C
0,"Hansen, Mr. Henry Damsgaard",male,21,0,0,S
0,"Bowen, Mr. David John ""Dai""",male,21,0,0,S
0,"Sutton, Mr. Frederick",male,61,0,0,S
0,"Kirkland, Rev. Charles Leonard",male,57,0,0,Q
1,"Longley, Miss. Gretchen Fiske",female,21,0,0,S
0,"Bostandyeff, Mr. Guentcho",male,26,0,0,S
0,"O'Connell, Mr. Patrick D",male,,0,0,Q
1,"Barkworth, Mr. Algernon Henry Wilson",male,80,0,0,S
0,"Lundahl, Mr. Johan Svensson",male,51,0,0,S
1,"Stahelin-Maeglin, Dr. Max",male,32,0,0,C
0,"Parr, Mr. William Henry Marsh",male,,0,0,S
0,"Skoog, Miss. Mabel",female,9,3,2,S
1,"Davis, Miss. Mary",female,28,0,0,S
0,"Leinonen, Mr. Antti Gustaf",male,32,0,0,S
0,"Collyer, Mr. Harvey",male,31,1,1,S
0,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41,0,5,S
0,"Thorneycroft, Mr. Percival",male,,1,0,S
0,"Jensen, Mr. Hans Peder",male,20,0,0,S
1,"Sagesser, Mlle. Emma",female,24,0,0,C
0,"Skoog, Miss. Margit Elizabeth",female,2,3,2,S
1,"Foo, Mr. Choong",male,,0,0,S
1,"Baclini, Miss. Eugenie",female,0.75,2,1,C
1,"Harper, Mr. Henry Sleeper",male,48,1,0,C
0,"Cor, Mr. Liudevit",male,19,0,0,S
1,"Simonius-Blumer, Col. Oberst Alfons",male,56,0,0,C
0,"Willey, Mr. Edward",male,,0,0,S
1,"Stanley, Miss. Amy Zillah Elsie",female,23,0,0,S
0,"Mitkoff, Mr. Mito",male,,0,0,S
1,"Doling, Miss. Elsie",female,18,0,1,S
0,"Kalvik, Mr. Johannes Halvorsen",male,21,0,0,S
1,"O'Leary, Miss. Hanora ""Norah""",female,,0,0,Q
0,"Hegarty, Miss. Hanora ""Nora""",female,18,0,0,Q
0,"Hickman, Mr. Leonard Mark",male,24,2,0,S
0,"Radeff, Mr. Alexander",male,,0,0,S
0,"Bourke, Mrs. John (Catherine)",female,32,1,1,Q
0,"Eitemiller, Mr. George Floyd",male,23,0,0,S
0,"Newell, Mr. Arthur Webster",male,58,0,2,C
1,"Frauenthal, Dr. Henry William",male,50,2,0,S
0,"Badt, Mr. Mohamed",male,40,0,0,C
0,"Colley, Mr. Edward Pomeroy",male,47,0,0,S
0,"Coleff, Mr. Peju",male,36,0,0,S
1,"Lindqvist, Mr. Eino William",male,20,1,0,S
0,"Hickman, Mr. Lewis",male,32,2,0,S
0,"Butler, Mr. Reginald Fenton",male,25,0,0,S
0,"Rommetvedt, Mr. Knud Paust",male,,0,0,S
0,"Cook, Mr. Jacob",male,43,0,0,S
1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,,1,0,S
1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,40,1,1,S
0,"Davidson, Mr. Thornton",male,31,1,0,S
0,"Mitchell, Mr. Henry Michael",male,70,0,0,S
1,"Wilhelms, Mr. Charles",male,31,0,0,S
0,"Watson, Mr. Ennis Hastings",male,,0,0,S
0,"Edvardsson, Mr. Gustaf Hjalmar",male,18,0,0,S
0,"Sawyer, Mr. Frederick Charles",male,24.5,0,0,S
1,"Turja, Miss. Anna Sofia",female,18,0,0,S
0,"Goodwin, Mrs. Frederick (Augusta Tyler)",female,43,1,6,S
1,"Cardeza, Mr. Thomas Drake Martinez",male,36,0,1,C
0,"Peters, Miss. Katie",female,,0,0,Q
1,"Hassab, Mr. Hammad",male,27,0,0,C
0,"Olsvigen, Mr. Thor Anderson",male,20,0,0,S
0,"Goodwin, Mr. Charles Edward",male,14,5,2,S
0,"Brown, Mr. Thomas William Solomon",male,60,1,1,S
0,"Laroche, Mr. Joseph Philippe Lemercier",male,25,1,2,C
0,"Panula, Mr. Jaako Arnold",male,14,4,1,S
0,"Dakic, Mr. Branko",male,19,0,0,S
0,"Fischer, Mr. Eberhard Thelander",male,18,0,0,S
1,"Madill, Miss. Georgette Alexandra",female,15,0,1,S
1,"Dick, Mr. Albert Adrian",male,31,1,0,S
1,"Karun, Miss. Manca",female,4,0,1,C
1,"Lam, Mr. Ali",male,,0,0,S
0,"Saad, Mr. Khalil",male,25,0,0,C
0,"Weir, Col. John",male,60,0,0,S
0,"Chapman, Mr. Charles Henry",male,52,0,0,S
0,"Kelly, Mr. James",male,44,0,0,S
1,"Mullens, Miss. Katherine ""Katie""",female,,0,0,Q
0,"Thayer, Mr. John Borland",male,49,1,1,C
0,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42,0,0,S
1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18,1,0,C
1,"Silverthorne, Mr. Spencer Victor",male,35,0,0,S
0,"Barbara, Miss. Saiide",female,18,0,1,C
0,"Gallagher, Mr. Martin",male,25,0,0,Q
0,"Hansen, Mr. Henrik Juul",male,26,1,0,S
0,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39,0,0,S
1,"Kelly, Mrs. Florence ""Fannie""",female,45,0,0,S
1,"Calderhead, Mr. Edward Pennington",male,42,0,0,S
1,"Cleaver, Miss. Alice",female,22,0,0,S
1,"Moubarek, Master. Halim Gonios (""William George"")",male,,1,1,C
1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24,0,0,C
0,"Klaber, Mr. Herman",male,,0,0,S
1,"Taylor, Mr. Elmer Zebley",male,48,1,0,S
0,"Larsson, Mr. August Viktor",male,29,0,0,S
0,"Greenberg, Mr. Samuel",male,52,0,0,S
0,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19,0,0,S
1,"Endres, Miss. Caroline Louise",female,38,0,0,C
1,"Troutt, Miss. Edwina Celia ""Winnie""",female,27,0,0,S
0,"McEvoy, Mr. Michael",male,,0,0,Q
0,"Johnson, Mr. Malkolm Joackim",male,33,0,0,S
1,"Harper, Miss. Annie Jessie ""Nina""",female,6,0,1,S
0,"Jensen, Mr. Svend Lauritz",male,17,1,0,S
0,"Gillespie, Mr. William Henry",male,34,0,0,S
0,"Hodges, Mr. Henry Price",male,50,0,0,S
1,"Chambers, Mr. Norman Campbell",male,27,1,0,S
0,"Oreskovic, Mr. Luka",male,20,0,0,S
1,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30,3,0,S
1,"Mannion, Miss. Margareth",female,,0,0,Q
0,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,1,0,S
0,"Ilmakangas, Miss. Pieta Sofia",female,25,1,0,S
1,"Allen, Miss. Elisabeth Walton",female,29,0,0,S
0,"Hassan, Mr. Houssein G N",male,11,0,0,C
0,"Knight, Mr. Robert J",male,,0,0,S
0,"Berriman, Mr. William John",male,23,0,0,S
0,"Troupiansky, Mr. Moses Aaron",male,23,0,0,S
0,"Williams, Mr. Leslie",male,28.5,0,0,S
0,"Ford, Mrs. Edward (Margaret Ann Watson)",female,48,1,3,S
1,"Lesurer, Mr. Gustave J",male,35,0,0,C
0,"Ivanoff, Mr. Kanio",male,,0,0,S
0,"Nankoff, Mr. Minko",male,,0,0,S
1,"Hawksford, Mr. Walter James",male,,0,0,S
0,"Cavendish, Mr. Tyrell William",male,36,1,0,S
1,"Ryerson, Miss. Susan Parker ""Suzette""",female,21,2,2,C
0,"McNamee, Mr. Neal",male,24,1,0,S
1,"Stranden, Mr. Juho",male,31,0,0,S
0,"Crosby, Capt. Edward Gifford",male,70,1,1,S
0,"Abbott, Mr. Rossmore Edward",male,16,1,1,S
1,"Sinkkonen, Miss. Anna",female,30,0,0,S
0,"Marvin, Mr. Daniel Warner",male,19,1,0,S
0,"Connaghton, Mr. Michael",male,31,0,0,Q
1,"Wells, Miss. Joan",female,4,1,1,S
1,"Moor, Master. Meier",male,6,0,1,S
0,"Vande Velde, Mr. Johannes Joseph",male,33,0,0,S
0,"Jonkoff, Mr. Lalio",male,23,0,0,S
1,"Herman, Mrs. Samuel (Jane Laver)",female,48,1,2,S
1,"Hamalainen, Master. Viljo",male,0.67,1,1,S
0,"Carlsson, Mr. August Sigfrid",male,28,0,0,S
0,"Bailey, Mr. Percy Andrew",male,18,0,0,S
0,"Theobald, Mr. Thomas Leonard",male,34,0,0,S
1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33,0,0,S
0,"Garfirth, Mr. John",male,,0,0,S
0,"Nirva, Mr. Iisakki Antino Aijo",male,41,0,0,S
1,"Barah, Mr. Hanna Assi",male,20,0,0,C
1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36,1,2,S
0,"Eklund, Mr. Hans Linus",male,16,0,0,S
1,"Hogeboom, Mrs. John C (Anna Andrews)",female,51,1,0,S
0,"Brewe, Dr. Arthur Jackson",male,,0,0,C
0,"Mangan, Miss. Mary",female,30.5,0,0,Q
0,"Moran, Mr. Daniel J",male,,1,0,Q
0,"Gronnestad, Mr. Daniel Danielsen",male,32,0,0,S
0,"Lievens, Mr. Rene Aime",male,24,0,0,S
0,"Jensen, Mr. Niels Peder",male,48,0,0,S
0,"Mack, Mrs. (Mary)",female,57,0,0,S
0,"Elias, Mr. Dibo",male,,0,0,C
1,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,54,1,3,S
0,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",male,18,0,0,S
0,"Tobin, Mr. Roger",male,,0,0,Q
1,"Emanuel, Miss. Virginia Ethel",female,5,0,0,S
0,"Kilgannon, Mr. Thomas J",male,,0,0,Q
1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43,0,1,S
1,"Ayoub, Miss. Banoura",female,13,0,0,C
1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17,1,0,S
0,"Long, Mr. Milton Clyde",male,29,0,0,S
0,"Johnston, Mr. Andrew G",male,,1,2,S
0,"Ali, Mr. William",male,25,0,0,S
0,"Harmer, Mr. Abraham (David Lishin)",male,25,0,0,S
1,"Sjoblom, Miss. Anna Sofia",female,18,0,0,S
0,"Rice, Master. George Hugh",male,8,4,1,Q
1,"Dean, Master. Bertram Vere",male,1,1,2,S
0,"Guggenheim, Mr. Benjamin",male,46,0,0,C
0,"Keane, Mr. Andrew ""Andy""",male,,0,0,Q
0,"Gaskell, Mr. Alfred",male,16,0,0,S
0,"Sage, Miss. Stella Anna",female,,8,2,S
0,"Hoyt, Mr. William Fisher",male,,0,0,C
0,"Dantcheff, Mr. Ristiu",male,25,0,0,S
0,"Otter, Mr. Richard",male,39,0,0,S
1,"Leader, Dr. Alice (Farnham)",female,49,0,0,S
1,"Osman, Mrs. Mara",female,31,0,0,S
0,"Ibrahim Shawah, Mr. Yousseff",male,30,0,0,C
0,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",female,30,1,1,S
0,"Ponesell, Mr. Martin",male,34,0,0,S
1,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,31,1,1,S
1,"Carter, Master. William Thornton II",male,11,1,2,S
1,"Thomas, Master. Assad Alexander",male,0.42,0,1,C
1,"Hedman, Mr. Oskar Arvid",male,27,0,0,S
0,"Johansson, Mr. Karl Johan",male,31,0,0,S
0,"Andrews, Mr. Thomas Jr",male,39,0,0,S
0,"Pettersson, Miss. Ellen Natalia",female,18,0,0,S
0,"Meyer, Mr. August",male,39,0,0,S
1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33,1,0,S
0,"Alexander, Mr. William",male,26,0,0,S
0,"Lester, Mr. James",male,39,0,0,S
0,"Slemen, Mr. Richard James",male,35,0,0,S
0,"Andersson, Miss. Ebba Iris Alfrida",female,6,4,2,S
0,"Tomlin, Mr. Ernest Portage",male,30.5,0,0,S
0,"Fry, Mr. Richard",male,,0,0,S
0,"Heininen, Miss. Wendla Maria",female,23,0,0,S
0,"Mallet, Mr. Albert",male,31,1,1,C
0,"Holm, Mr. John Fredrik Alexander",male,43,0,0,S
0,"Skoog, Master. Karl Thorsten",male,10,3,2,S
1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52,1,1,S
1,"Lulic, Mr. Nikola",male,27,0,0,S
0,"Reuchlin, Jonkheer. John George",male,38,0,0,S
1,"Moor, Mrs. (Beila)",female,27,0,1,S
0,"Panula, Master. Urho Abraham",male,2,4,1,S
0,"Flynn, Mr. John",male,,0,0,Q
0,"Lam, Mr. Len",male,,0,0,S
1,"Mallet, Master. Andre",male,1,0,2,C
1,"McCormack, Mr. Thomas Joseph",male,,0,0,Q
1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62,0,0,
1,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15,1,0,C
1,"Richards, Master. George Sibley",male,0.83,1,1,S
0,"Saad, Mr. Amin",male,,0,0,C
0,"Augustsson, Mr. Albert",male,23,0,0,S
0,"Allum, Mr. Owen George",male,18,0,0,S
1,"Compton, Miss. Sara Rebecca",female,39,1,1,C
0,"Pasic, Mr. Jakob",male,21,0,0,S
0,"Sirota, Mr. Maurice",male,,0,0,S
1,"Chip, Mr. Chang",male,32,0,0,S
1,"Marechal, Mr. Pierre",male,,0,0,C
0,"Alhomaki, Mr. Ilmari Rudolf",male,20,0,0,S
0,"Mudd, Mr. Thomas Charles",male,16,0,0,S
1,"Serepeca, Miss. Augusta",female,30,0,0,C
0,"Lemberopolous, Mr. Peter L",male,34.5,0,0,C
0,"Culumovic, Mr. Jeso",male,17,0,0,S
0,"Abbing, Mr. Anthony",male,42,0,0,S
0,"Sage, Mr. Douglas Bullen",male,,8,2,S
0,"Markoff, Mr. Marin",male,35,0,0,C
0,"Harper, Rev. John",male,28,0,1,S
1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,,1,0,C
0,"Andersson, Master. Sigvard Harald Elias",male,4,4,2,S
0,"Svensson, Mr. Johan",male,74,0,0,S
0,"Boulos, Miss. Nourelain",female,9,1,1,C
1,"Lines, Miss. Mary Conover",female,16,0,1,S
0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,44,1,0,S
1,"Aks, Mrs. Sam (Leah Rosen)",female,18,0,1,S
1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45,1,1,S
1,"Daly, Mr. Peter Denis ",male,51,0,0,S
1,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24,0,3,C
0,"Razi, Mr. Raihed",male,,0,0,C
0,"Hansen, Mr. Claus Peter",male,41,2,0,S
0,"Giles, Mr. Frederick Edward",male,21,1,0,S
1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48,0,0,S
0,"Sage, Miss. Dorothy Edith ""Dolly""",female,,8,2,S
0,"Gill, Mr. John William",male,24,0,0,S
1,"Bystrom, Mrs. (Karolina)",female,42,0,0,S
1,"Duran y More, Miss. Asuncion",female,27,1,0,C
0,"Roebling, Mr. Washington Augustus II",male,31,0,0,S
0,"van Melkebeke, Mr. Philemon",male,,0,0,S
1,"Johnson, Master. Harold Theodor",male,4,1,1,S
0,"Balkic, Mr. Cerin",male,26,0,0,S
1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47,1,1,S
0,"Carlsson, Mr. Frans Olof",male,33,0,0,S
0,"Vander Cruyssen, Mr. Victor",male,47,0,0,S
1,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28,1,0,C
1,"Najib, Miss. Adele Kiamie ""Jane""",female,15,0,0,C
0,"Gustafsson, Mr. Alfred Ossian",male,20,0,0,S
0,"Petroff, Mr. Nedelio",male,19,0,0,S
0,"Laleff, Mr. Kristo",male,,0,0,S
1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56,0,1,C
1,"Shelley, Mrs. William (Imanita Parrish Hall)",female,25,0,1,S
0,"Markun, Mr. Johann",male,33,0,0,S
0,"Dahlberg, Miss. Gerda Ulrika",female,22,0,0,S
0,"Banfield, Mr. Frederick James",male,28,0,0,S
0,"Sutehall, Mr. Henry Jr",male,25,0,0,S
0,"Rice, Mrs. William (Margaret Norton)",female,39,0,5,Q
0,"Montvila, Rev. Juozas",male,27,0,0,S
1,"Graham, Miss. Margaret Edith",female,19,0,0,S
0,"Johnston, Miss. Catherine Helen ""Carrie""",female,,1,2,S
1,"Behr, Mr. Karl Howell",male,26,0,0,C
0,"Dooley, Mr. Patrick",male,32,0,0,Q
